                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0592,                0.84959,                  1.065,                0.65843,                0.73986,                0.75431,                0.61752,                 1.0032,                0.72712,                 1.0974,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.0829,                0.88085,                 1.0742,                0.72492,                0.72021,                0.75987,                0.62319,                 1.0125,                0.71651,                 1.1052,              0.0066301,              0.0066301,              0.0066301
                      3,                 1.1174,                0.93988,                 1.0903,                0.55779,                0.51684,                0.52501,                  0.394,                 1.0792,                 1.2127,                 1.1523,              0.0098974,              0.0098974,              0.0098974
                      4,                 1.1485,                 1.0006,                  1.105,                0.62468,                0.57504,                0.61712,                0.46562,                 1.1022,                0.95094,                 1.1521,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1544,                 1.0054,                 1.1078,                0.58311,                0.62564,                  0.642,                0.49303,                 1.0723,                0.89602,                 1.1436,               0.009802,               0.009802,               0.009802
                      6,                 1.1484,                 1.0056,                 1.1054,                 0.7128,                0.63959,                 0.6985,                  0.546,                 1.0647,                0.85651,                 1.1392,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1585,                 1.0033,                 1.1102,                0.65529,                0.58909,                0.64433,                0.50601,                 1.0691,                0.93521,                 1.1391,               0.009703,               0.009703,               0.009703
                      8,                 1.1568,                 1.0031,                 1.1088,                0.66028,                 0.6614,                0.67828,                0.53122,                 1.0556,                0.84138,                 1.1337,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1546,                 1.0055,                 1.1078,                0.64081,                0.71683,                0.71331,                0.56966,                 1.0499,                0.79836,                  1.125,               0.009604,               0.009604,               0.009604
                     10,                 1.1545,                0.99911,                 1.1069,                0.65867,                0.58074,                0.63657,                0.48392,                 1.0598,                0.87082,                 1.1339,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1475,                0.99541,                 1.1045,                0.69599,                0.69729,                 0.7358,                0.58375,                 1.0397,                0.78811,                 1.1257,               0.009505,               0.009505,               0.009505
                     12,                 1.1472,                0.98663,                 1.1021,                0.71675,                0.70494,                0.74057,                0.58815,                 1.0419,                0.76746,                 1.1221,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1478,                 0.9849,                 1.1031,                0.57354,                 0.6418,                0.63175,                0.49215,                 1.0598,                0.89332,                 1.1288,               0.009406,               0.009406,               0.009406
                     14,                 1.1452,                 0.9834,                 1.1017,                0.52156,                0.66034,                0.61815,                0.48614,                 1.0621,                0.91883,                 1.1338,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1442,                0.98154,                 1.1025,                 0.6375,                0.69881,                0.71333,                0.56258,                 1.0399,                0.80559,                   1.12,               0.009307,               0.009307,               0.009307
                     16,                 1.1432,                0.97894,                 1.1002,                0.60514,                 0.6549,                0.65881,                0.51661,                  1.044,                0.79833,                 1.1234,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1406,                0.97596,                 1.0996,                0.70312,                0.67454,                0.72018,                0.56887,                 1.0467,                 0.8042,                 1.1191,               0.009208,               0.009208,               0.009208
                     18,                 1.1384,                 0.9687,                 1.0981,                 0.6915,                0.75043,                0.76534,                0.61659,                 1.0351,                0.74668,                 1.1176,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1382,                0.96816,                 1.0978,                0.63527,                0.71259,                0.70969,                0.56259,                 1.0355,                0.75406,                 1.1205,               0.009109,               0.009109,               0.009109
                     20,                 1.1393,                0.96757,                 1.0981,                0.71783,                0.69035,                0.74673,                0.59801,                 1.0286,                0.72716,                 1.1127,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1416,                0.96494,                 1.0997,                0.69155,                0.74928,                0.75871,                0.61154,                  1.026,                0.72313,                 1.1101,                0.00901,                0.00901,                0.00901
                     22,                 1.1334,                0.95923,                 1.0949,                0.71877,                0.70448,                0.75315,                0.60834,                 1.0307,                 0.7429,                 1.1159,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1348,                0.95768,                 1.0965,                 0.6942,                0.72743,                0.74223,                0.59338,                 1.0228,                0.74511,                 1.1092,               0.008911,               0.008911,               0.008911
                     24,                 1.1355,                0.95909,                 1.0961,                0.67217,                0.68577,                0.71023,                0.56291,                 1.0259,                0.76861,                 1.1114,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1295,                0.95563,                 1.0933,                0.76122,                0.68763,                0.75849,                0.61042,                 1.0213,                0.71368,                 1.1086,               0.008812,               0.008812,               0.008812
                     26,                 1.1347,                0.95657,                 1.0956,                0.71813,                 0.6789,                0.71062,                0.56583,                  1.028,                0.75535,                 1.1138,              0.0087625,              0.0087625,              0.0087625
